t,qx,qy,qz,qw
0.00,-0.3356695,-0.3371284,0.6226849,0.6212358
0.02,-0.4005188,-0.4290365,0.5906845,0.5537185
0.04,-0.3853735,-0.4423203,0.6083830,0.5345186
0.06,-0.3697013,-0.4549007,0.6255190,0.5148905
0.08,-0.3535537,-0.4667424,0.6420672,0.4948748
0.10,-0.3369838,-0.4778141,0.6580064,0.4745137
0.12,-0.3200467,-0.4880886,0.6733191,0.4538513
0.14,-0.3027985,-0.4975433,0.6879920,0.4329326
0.16,-0.2852962,-0.5061597,0.7020160,0.4118033
0.18,-0.2675969,-0.5139237,0.7153857,0.3905094
0.20,-0.2497575,-0.5208254,0.7281000,0.3690967
0.22,-0.2318346,-0.5268592,0.7401615,0.3476105
0.24,-0.2138836,-0.5320234,0.7515763,0.3260949
0.26,-0.1959589,-0.5363201,0.7623541,0.3045933
0.28,-0.1781131,-0.5397551,0.7725076,0.2831470
0.30,-0.1603970,-0.5423374,0.7820524,0.2617958
0.32,-0.1428594,-0.5440791,0.7910067,0.2405774
0.34,-0.1255468,-0.5449953,0.7993909,0.2195275
0.36,-0.1085033,-0.5451033,0.8072273,0.1986794
0.38,-0.0917705,-0.5444230,0.8145398,0.1780639
0.40,-0.0753873,-0.5429759,0.8213535,0.1577095
0.42,-0.0593903,-0.5407856,0.8276946,0.1376423
0.44,-0.0438132,-0.5378769,0.8335897,0.1178858
0.46,-0.0286870,-0.5342759,0.8390660,0.0984613
0.48,-0.0140405,-0.5300098,0.8441505,0.0793876
0.50,0.0001004,-0.5251066,0.8488703,0.0606814
0.52,0.0137121,-0.5195949,0.8532520,0.0423571
0.54,0.0267735,-0.5135039,0.8573215,0.0244271
0.56,0.0392658,-0.5068632,0.8611041,0.0069020
0.58,-0.0511722,0.4997026,-0.8646239,0.0102096
0.60,-0.0624785,0.4920520,-0.8679041,0.0269006
0.62,-0.0731724,0.4839416,-0.8709667,0.0431656
0.64,-0.0832434,0.4754015,-0.8738323,0.0590007
0.66,-0.0926835,0.4664615,-0.8765202,0.0744032
0.68,-0.1014860,0.4571517,-0.8790481,0.0893715
0.70,-0.1096465,0.4475018,-0.8814326,0.1039053
0.72,-0.1171623,0.4375412,-0.8836885,0.1180052
0.74,-0.1240324,0.4272992,-0.8858294,0.1316727
0.76,-0.1302575,0.4168046,-0.8878671,0.1449102
0.78,-0.1358401,0.4060858,-0.8898123,0.1577208
0.80,-0.1407844,0.3951709,-0.8916743,0.1701080
0.82,-0.1450961,0.3840873,-0.8934609,0.1820761
0.84,-0.1487825,0.3728618,-0.8951789,0.1936300
0.86,-0.1518525,0.3615206,-0.8968339,0.2047747
0.88,-0.1543165,0.3500889,-0.8984303,0.2155158
0.90,-0.1561865,0.3385913,-0.8999718,0.2258593
0.92,-0.1574754,0.3270511,-0.9014611,0.2358112
0.94,-0.1581980,0.3154909,-0.9029001,0.2453778
0.96,-0.1583699,0.3039319,-0.9042902,0.2545656
0.98,-0.1580079,0.2923941,-0.9056321,0.2633813
1.00,-0.1571298,0.2808961,-0.9069263,0.2718313
1.02,-0.1557546,0.2694554,-0.9081727,0.2799225
1.04,-0.1539016,0.2580877,-0.9093712,0.2876613
1.06,-0.1515910,0.2468073,-0.9105214,0.2950544
1.08,-0.1488436,0.2356270,-0.9116228,0.3021082
1.10,-0.1456805,0.2245579,-0.9126749,0.3088291
1.12,-0.1421228,0.2136097,-0.9136774,0.3152232
1.14,-0.1381922,0.2027902,-0.9146298,0.3212964
1.16,-0.1339101,0.1921059,-0.9155319,0.3270546
1.18,-0.1292978,0.1815615,-0.9163837,0.3325033
1.20,-0.1243764,0.1711603,-0.9171852,0.3376479
1.22,-0.1191668,0.1609039,-0.9179366,0.3424932
1.24,-0.1136892,0.1507929,-0.9186385,0.3470442
1.26,-0.1079637,0.1408261,-0.9192913,0.3513052
1.28,-0.1020096,0.1310011,-0.9198959,0.3552806
1.30,-0.0958457,0.1213145,-0.9204531,0.3589743
1.32,-0.0894900,0.1117616,-0.9209638,0.3623900
1.34,-0.0829602,0.1023365,-0.9214293,0.3655309
1.36,-0.0762730,0.0930325,-0.9218506,0.3684003
1.38,-0.0694447,0.0838421,-0.9222290,0.3710009
1.40,-0.0624909,0.0747568,-0.9225655,0.3733353
1.42,-0.0554264,0.0657675,-0.9228613,0.3754058
1.44,-0.0482658,0.0568643,-0.9231176,0.3772144
1.46,-0.0410229,0.0480370,-0.9233354,0.3787628
1.48,-0.0337110,0.0392748,-0.9235156,0.3800526
1.50,-0.0263434,0.0305665,-0.9236590,0.3810849
1.52,-0.0189325,0.0219004,-0.9237663,0.3818609
1.54,-0.0114909,0.0132649,-0.9238380,0.3823811
1.56,-0.0040306,0.0046480,-0.9238745,0.3826462
1.58,0.0034361,-0.0039623,-0.9238759,0.3826563
1.60,0.0108973,-0.0125782,-0.9238422,0.3824116
1.62,0.0183409,-0.0212118,-0.9237733,0.3819116
1.64,0.0257546,-0.0298750,-0.9236689,0.3811561
1.66,0.0331262,-0.0385795,-0.9235284,0.3801442
1.68,0.0404429,-0.0473370,-0.9233511,0.3788750
1.70,0.0476918,-0.0561587,-0.9231364,0.3773472
1.72,0.0548595,-0.0650555,-0.9228832,0.3755594
1.74,0.0619322,-0.0740376,-0.9225905,0.3735098
1.76,0.0688954,-0.0831149,-0.9222573,0.3711965
1.78,0.0757342,-0.0922966,-0.9218823,0.3686172
1.80,0.0824332,-0.1015912,-0.9214645,0.3657693
1.82,0.0889762,-0.1110064,-0.9210026,0.3626501
1.84,0.0953463,-0.1205490,-0.9204954,0.3592565
1.86,0.1015262,-0.1302248,-0.9199420,0.3555851
1.88,0.1074977,-0.1400385,-0.9193412,0.3516322
1.90,0.1132421,-0.1499940,-0.9186922,0.3473940
1.92,0.1187401,-0.1600935,-0.9179943,0.3428663
1.94,0.1239718,-0.1703382,-0.9172468,0.3380446
1.96,0.1289169,-0.1807279,-0.9164493,0.3329241
1.98,0.1335546,-0.1912611,-0.9156016,0.3274998
2.00,0.1378638,-0.2019344,-0.9147035,0.3217664
